"Window_Scheme","Window_Type","Window_Size","Test_Index","Test_Period","Train_Range_Label","Term","Beta","SE","CI95_Low_Beta","CI95_High_Beta","OR","OR_CI95_Low","OR_CI95_High","Error"
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","(Intercept)",0.196252556180565,1.06289412390656,-1.8870199266763,2.27952503903743,1.2168341855242,0.151522685392766,9.77203797056677,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","HA",2.22707906109363,0.5124445414938,1.22268775976578,3.23147036242148,9.27274137291874,3.39630392611061,25.3168545688742,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","PB1",0.246129645114697,0.203613469003335,-0.15295275413184,0.645212044361233,1.27906538737188,0.858170265852856,1.90639122592636,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","PB2",0.33449209232129,0.209945168024505,-0.0770004370067393,0.745984621649319,1.3972305408494,0.925889448986478,2.10851650423204,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","NA_seg",0.145727861414241,0.316881210510855,-0.475359311187035,0.766815034015516,1.15688131316348,0.621661646346464,2.15289841445512,NA
"rolling_width_6","rolling",6,7,"Vic11","Mos99-Prth09 -> Vic11","HA:PB1",-0.433717605283005,0.198378321991005,-0.822539116385375,-0.0448960941806345,0.648095248320265,0.439314765830632,0.956096820695615,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","(Intercept)",-0.382408304110879,0.476094891887681,-1.31555429221073,0.550737683988977,0.682216444551912,0.26832555124847,1.7345320825823,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","HA",1.0615235370619,0.234406405093609,0.602086983078426,1.52096009104537,2.89077183401828,1.82592550237344,4.57661705556502,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","PB1",0.29563657695537,0.198933484492726,-0.0942730526503717,0.685546206561113,1.34398163416982,0.910034241051178,1.98485568070421,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","PB2",0.100698120159223,0.179866102707316,-0.251839441147116,0.453235681465562,1.10594272955017,0.777369541611389,1.57339496285066,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","NA_seg",-0.0331898491367859,0.242649863323323,-0.508783581250499,0.442403882976927,0.967354890663932,0.601226477342539,1.55644423483746,NA
"rolling_width_6","rolling",6,8,"Swtz13","Fuj02-Vic11 -> Swtz13","HA:PB1",-0.221073926144393,0.179253088247733,-0.572409979109949,0.130262126821163,0.801657414657793,0.564164175173309,1.13912693991673,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","(Intercept)",-0.2395760628348,0.215132822750734,-0.661236395426239,0.18208426975664,0.786961412549481,0.516212696751434,1.19971528933563,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","HA",0.619251514588976,0.181850839754843,0.262823868669484,0.975679160508468,1.857537181911,1.30059762278704,2.65296839062946,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","PB1",0.0406666704119949,0.184020509518039,-0.320013528243361,0.401346869067351,1.04150488328532,0.726139213619248,1.49383534391512,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","PB2",-0.013523729146901,0.175639269668263,-0.357776697696696,0.330729239402894,0.986567305639453,0.699229197064912,1.39198284717269,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","NA_seg",0.432541442221701,0.167446300584605,0.104346693075875,0.760736191367527,1.54116934345087,1.10998521240281,2.139850980583,NA
"rolling_width_6","rolling",6,9,"HK15","Cal04-Swtz13 -> HK15","HA:PB1",-0.343167898161678,0.162551634391138,-0.661769101568309,-0.0245666947550472,0.709519074610749,0.515937780308601,0.975732610500788,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","(Intercept)",-0.495389088613383,0.276997325565574,-1.03830384672191,0.0475256694951414,0.609333776332701,0.354054703997063,1.04867311968534,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","HA",0.938371596811862,0.15063607862645,0.64312488270402,1.2336183109197,2.55581612873194,1.90241642872105,3.43363103118163,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","PB1",0.25032967217683,0.170979795404044,-0.0847907268150957,0.585450071168755,1.28444879392598,0.918704524507236,1.79579904115832,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","PB2",0.26413852752641,0.147850850633878,-0.02564913971599,0.55392619476881,1.30230858939341,0.974677005073781,1.74007148335204,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","NA_seg",0.382980663050192,0.159308489911856,0.0707360228229552,0.695225303277429,1.46664966926315,1.07329786232942,2.00416056702207,NA
"rolling_width_6","rolling",6,10,"Kan17","Wis05-HK15 -> Kan17","HA:PB1",-0.511241823481462,0.150158459433444,-0.805552403971013,-0.216931242991911,0.599750332130169,0.446841021615248,0.804985315784119,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","(Intercept)",-1.00539899884398,0.716923625680126,-2.41056930517703,0.399771307489069,0.365898612551176,0.0897641768122548,1.49148356751374,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","HA",1.24072580032588,0.201609712945789,0.845570762952135,1.63588083769963,3.45812246054635,2.32930691732541,5.13397820750323,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","PB1",0.0666473564860312,0.172132095308635,-0.270731550318893,0.404026263290955,1.06891846453932,0.762821248041859,1.49784328473556,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","PB2",0.216108728384261,0.157319015337707,-0.0922365416776442,0.524453998446167,1.24123732939338,0.911889424177855,1.68953610715318,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","NA_seg",0.440275217858975,0.191933804199639,0.0640849616276834,0.816465474090268,1.55313461007783,1.06618297955486,2.26248886286737,NA
"rolling_width_6","rolling",6,11,"HK19","Bris07-Kan17 -> HK19","HA:PB1",-0.527154120122523,0.190833212124796,-0.901187215887124,-0.153121024357922,0.590282454545393,0.406087260194196,0.858025873497012,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","(Intercept)",-1.16562415862891,0.782665885705257,-2.69964929461121,0.368400977353396,0.311728033557427,0.0672290862086535,1.44542150407917,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","HA",1.56335834357066,0.231410712242515,1.10979334757533,2.01692333956599,4.77482986805226,3.03373140170318,7.51516770932465,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","PB1",-0.215317962574302,0.178006754090943,-0.564211200592551,0.133575275443946,0.806285030951156,0.568808645769143,1.14290729575119,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","PB2",0.225251100962158,0.160050586004386,-0.0884480476064389,0.538950249530755,1.25263721511467,0.915350664158681,1.71420642834452,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","NA_seg",0.348054347814767,0.202693887834937,-0.0492256723417099,0.745334367971243,1.41630922095959,0.951966272997753,2.10714587929513,NA
"rolling_width_6","rolling",6,12,"Cam20","Prth09-HK19 -> Cam20","HA:PB1",-0.120302770436942,0.161412557426107,-0.436671382992112,0.196065842118227,0.886651944076868,0.646183743492366,1.21660700667964,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","(Intercept)",-1.18426945973593,0.859209171454822,-2.86831943578739,0.499780516315519,0.30596962099999,0.0567942928789001,1.64835944299004,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","HA",1.54218156388725,0.235287015118986,1.08101901425404,2.00334411352046,4.67477748065622,2.94768175088404,7.41380730368751,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","PB1",0.0170810860817454,0.169562985410604,-0.315262365323037,0.349424537486528,1.01722780199793,0.729597428090827,1.41825116333704,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","PB2",0.225236228724616,0.168104563323344,-0.104248715389138,0.55472117283837,1.25261858573498,0.901001176692948,1.74145535202051,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","NA_seg",0.497274275224736,0.21694693998653,0.0720582728511369,0.922490277598335,1.64423342937378,1.07471796911935,2.51554700670501,NA
"rolling_width_6","rolling",6,13,"Dar21","Vic11-Cam20 -> Dar21","HA:PB1",-0.180576890731545,0.154627891753651,-0.4836475585687,0.12249377710561,0.834788490731431,0.616530454501458,1.13031208623939,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","(Intercept)",-1.13599308166454,0.828068327797662,-2.75900700414795,0.487020840818879,0.321103081361711,0.0633546480375533,1.62746052663522,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","HA",1.7601138392959,0.266848606917559,1.23709056973749,2.28313710885432,5.81309911584728,3.44557420971066,9.80739907891933,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","PB1",-0.119493780984977,0.216174481756048,-0.543195765226832,0.304208203256877,0.887369526366306,0.580888898384919,1.35555125689764,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","PB2",0.535694942060462,0.232649972567813,0.0797009958275494,0.991688888293375,1.70863523225068,1.08296320874176,2.6957835070688,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","NA_seg",0.190786219294192,0.247257045071794,-0.293837589046524,0.675410027634907,1.21020070686363,0.745397542338597,1.96483844888766,NA
"rolling_width_6","rolling",6,14,"TH22","Swtz13-Dar21 -> TH22","HA:PB1",-0.148219204408671,0.225276133498565,-0.589760426065857,0.293322017248516,0.862242086958116,0.554460103012177,1.34087450563699,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","(Intercept)",-0.332307640627611,0.887626664058377,-2.07205590218203,1.40744062092681,0.717266628553145,0.125926622575283,4.08548570520444,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","HA",2.03373202333075,0.382326812229743,1.28437147136046,2.78309257530105,7.6425553972281,3.61239674871846,16.1689473949453,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","PB1",0.0714074248907301,0.175187900208445,-0.271960859517823,0.414775709299283,1.07401871869868,0.761884081016545,1.51403111950583,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","PB2",0.109223861174589,0.166223862546438,-0.21657490941643,0.435022631765607,1.11541201983966,0.805272210191922,1.54499802458883,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","NA_seg",0.221729804008439,0.251755322807015,-0.27171062869331,0.715170236710188,1.24823406445522,0.762074751753173,2.04453470749685,NA
"rolling_width_7","rolling",7,8,"Swtz13","Mos99-Vic11 -> Swtz13","HA:PB1",-0.237472001620748,0.18085582262795,-0.59194941397153,0.117005410730033,0.788618970725004,0.553247723978137,1.12412551201375,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","(Intercept)",-0.28393754195006,0.38871192132215,-1.04581290774147,0.477937823841355,0.75281366251119,0.351406042546318,1.61274520596444,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","HA",0.892852467062899,0.198706881971031,0.503386978399679,1.28231795572612,2.44208569463981,1.65431492147089,3.60498624691233,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","PB1",0.260964590676637,0.185319764898907,-0.102262148525219,0.624191329878494,1.29818169688435,0.902792854829896,1.86673577344945,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","PB2",0.0988255493620414,0.170817322603395,-0.235976402940614,0.433627501664696,1.10387371128764,0.789799310654153,1.54284405422269,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","NA_seg",0.0490080006420693,0.218701727520547,-0.379647385298203,0.477663386582341,1.05022875321076,0.684102591318915,1.61230266931768,NA
"rolling_width_7","rolling",7,9,"HK15","Fuj02-Swtz13 -> HK15","HA:PB1",-0.216719676399187,0.165744410314883,-0.541578720616357,0.108139367817983,0.805155641801585,0.581828981520674,1.11420301860967,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","(Intercept)",-0.551263769984767,0.273758612056505,-1.08783064961552,-0.0146968903540162,0.576221139060863,0.336946656790058,0.985410581792708,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","HA",0.944200105724072,0.150004607893319,0.650191074253167,1.23820913719498,2.57075622275704,1.91590687451703,3.44943047323737,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","PB1",0.260908939251043,0.170665608654068,-0.0735956537109302,0.595413532213017,1.29810945323249,0.929047274721707,1.81378084670267,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","PB2",0.271552858584365,0.147208860729832,-0.0169765084461065,0.560082225614837,1.31200022049798,0.98316678047904,1.75081645633717,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","NA_seg",0.388711468052542,0.158638117210252,0.0777807583204488,0.699642177784636,1.47507888254385,1.08088565750381,2.01303227091728,NA
"rolling_width_7","rolling",7,10,"Kan17","Cal04-HK15 -> Kan17","HA:PB1",-0.511589504233806,0.148620132646496,-0.802884964220939,-0.220294044246673,0.599541846728757,0.448034534222076,0.802282856617388,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","(Intercept)",-0.853799588758232,0.666536968591476,-2.16021204719753,0.452612869681061,0.425794012342235,0.115300669261899,1.57241533901842,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","HA",1.20255797636943,0.197861010543676,0.814750395703824,1.59036555703504,3.32862057480238,2.25861184276614,4.9055418559341,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","PB1",0.147755154612381,0.174863357337256,-0.194977025768641,0.490487334993403,1.15922902973155,0.822853562266977,1.63311189863495,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","PB2",0.242969371898186,0.157448865280274,-0.0656304040511512,0.551569147847523,1.27502957178487,0.936476918412815,1.73597488305556,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","NA_seg",0.425282718792185,0.19067221473256,0.051565177916368,0.799000259668001,1.53002292475514,1.05291781104473,2.22331707728784,NA
"rolling_width_7","rolling",7,11,"HK19","Wis05-Kan17 -> HK19","HA:PB1",-0.520987704044345,0.192235742636357,-0.897769759611605,-0.144205648477085,0.593933627520084,0.407477419701648,0.865709697870993,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","(Intercept)",-0.973485738132105,0.651791324610517,-2.25099673436872,0.304025258104508,0.377763954228342,0.105294221870896,1.35530328804944,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","HA",1.43745847676365,0.207818423652479,1.03013436640479,1.8447825871225,4.20998244041861,2.80144222913168,6.32672412956617,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","PB1",0.0570353208921225,0.172165227985396,-0.280408525959253,0.394479167743498,1.05869320372355,0.755475047236853,1.48361127704995,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","PB2",0.214090073739162,0.151383620677678,-0.0826218227890874,0.510801970267411,1.23873422719218,0.920699268871729,1.66662724463527,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","NA_seg",0.265012232256645,0.181944100868469,-0.0915982054455549,0.621622669958845,1.3034469197781,0.91247170206173,1.86194691719226,NA
"rolling_width_7","rolling",7,12,"Cam20","Bris07-HK19 -> Cam20","HA:PB1",-0.257509698922864,0.160767824400663,-0.572614634748163,0.0575952369024345,0.772974129260671,0.564048727607881,1.05928614898261,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","(Intercept)",-1.05401787036895,0.748886808674346,-2.52183601537067,0.413800274632764,0.348534565390835,0.0803120172046184,1.51255500111125,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","HA",1.43854067667983,0.220382548922474,1.00659088079178,1.87049047256788,4.2145409492268,2.73625687055957,6.49147951123357,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","PB1",-0.12468802865959,0.175857006670178,-0.469367761733139,0.219991704413958,0.882772259275667,0.6253975435745,1.24606639369352,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","PB2",0.290365066464782,0.162870604091817,-0.0288613175551786,0.609591450484742,1.33691546195,0.971551192218808,1.83967964500058,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","NA_seg",0.512002291278809,0.191271372575992,0.137110401029864,0.886894181527754,1.6686289334294,1.14695476651832,2.42757831324926,NA
"rolling_width_7","rolling",7,13,"Dar21","Prth09-Cam20 -> Dar21","HA:PB1",-0.157441870601348,0.161932007651365,-0.474828605598024,0.159944864395328,0.854326473649277,0.621991653217153,1.17344617054401,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","(Intercept)",-0.926499978845578,0.68638146552071,-2.27180765126617,0.418807693575014,0.395937076197081,0.103125596379903,1.52014799245364,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","HA",1.46404567033749,0.208210883263429,1.05595233914117,1.87213900153381,4.32341530743844,2.87471155103511,6.50218972886603,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","PB1",-0.275638185593431,0.178958189981483,-0.626396237957137,0.0751198667702753,0.759087529885446,0.534514597693601,1.07801336112038,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","PB2",0.275878860605112,0.166234073190964,-0.0499399228491777,0.601697644059403,1.31768823040366,0.95128657337097,1.82521473670292,NA
"rolling_width_7","rolling",7,14,"TH22","Vic11-Dar21 -> TH22","NA_seg",0.285875275908905,0.185573840117294,-0.0778494507209918,0.649600002538802,1.33092644630852,0.925103689753789,1.91477477076636,NA
